Month,Boro,CD,BC_SNAP_Recipients,BC_SNAP_Households
12/01/2020,Queens,Q11,7591,4996
12/01/2020,Queens,Q12,45928,27735
12/01/2020,Queens,Q13,21922,13756
12/01/2020,Queens,Q14,29379,16221
12/01/2020,Staten Island,S01,38258,20359
12/01/2020,Staten Island,S02,15478,9027
12/01/2020,Staten Island,S03,11284,7013
03/01/2021,Bronx,B01,46370,25389
03/01/2021,Bronx,B02,23080,12763
03/01/2021,Bronx,B03,44548,24520
03/01/2021,Bronx,B04,57383,32221
03/01/2021,Bronx,B05,55977,31101
03/01/2021,Bronx,B06,40500,22131
03/01/2021,Bronx,B07,48114,27742
03/01/2021,Bronx,B08,18337,10989
03/01/2021,Bronx,B09,56588,31320
03/01/2021,Bronx,B10,20358,12349
03/01/2021,Bronx,B11,26180,15219
03/01/2021,Bronx,B12,40884,22526
03/01/2021,Brooklyn,K01,52233,21536
03/01/2021,Brooklyn,K02,14337,9789
03/01/2021,Brooklyn,K03,45014,25102
03/01/2021,Brooklyn,K04,25096,16038
03/01/2021,Brooklyn,K05,66213,38486
03/01/2021,Brooklyn,K06,11626,7616
03/01/2021,Brooklyn,K07,21577,13243
03/01/2021,Brooklyn,K08,20524,13578
03/01/2021,Brooklyn,K09,21296,13315
03/01/2021,Brooklyn,K10,18515,11011
03/01/2021,Brooklyn,K11,36875,21909
03/01/2021,Brooklyn,K12,61787,20429
03/01/2021,Brooklyn,K13,31920,21324
03/01/2021,Brooklyn,K14,31951,19020
03/01/2021,Brooklyn,K15,28204,17657
03/01/2021,Brooklyn,K16,38928,22331
03/01/2021,Brooklyn,K17,32384,20974
03/01/2021,Brooklyn,K18,30444,18618
03/01/2021,Manhattan,M01,2219,1682
03/01/2021,Manhattan,M02,3035,2459
03/01/2021,Manhattan,M03,37580,25682
03/01/2021,Manhattan,M04,13424,10043
03/01/2021,Manhattan,M05,6031,4332
03/01/2021,Manhattan,M06,5469,4642
03/01/2021,Manhattan,M07,17394,12819
03/01/2021,Manhattan,M08,6105,4746
03/01/2021,Manhattan,M09,23008,15169
03/01/2021,Manhattan,M10,31502,20380
03/01/2021,Manhattan,M11,43180,27126
03/01/2021,Manhattan,M12,46906,32133
03/01/2021,Queens,Q01,24993,15047
03/01/2021,Queens,Q02,11846,7379
03/01/2021,Queens,Q03,25330,14587
03/01/2021,Queens,Q04,27511,15867
03/01/2021,Queens,Q05,20180,11916
03/01/2021,Queens,Q06,10875,7405
03/01/2021,Queens,Q07,28863,18855
03/01/2021,Queens,Q08,19394,11499
03/01/2021,Queens,Q09,23940,13834
